# Start time: 00:27:46 on May 26,2020
# Loading sv_std.std
# Loading work.traffic1_tb
# Loading work.traffic_light_controller
run -all
# e   e   w   w   n
# l   s   l   s   s
#                                   10000
#                                   20000
#                                   30000
#                                   40000
# g   g                             50000
# g   g                             60000
# g   g                             70000
# g   g                             80000
# g   g                             90000
# g   g                            100000
# g   g                            110000
# g   g                            120000
# g   g                            130000
# g   g                            140000
# y   y                            150000
# y   y                            160000
#                                  170000
#     g       g                    180000
#     g       g                    190000
#     g       g                    200000
#     g       g                    210000
#     g       g                    220000
#     g       g                    230000
#     g       g                    240000
#     g       g                    250000
#     g       g                    260000
#     g       g                    270000
#     y       y                    280000
#     y       y                    290000
#                                  300000
#                                  310000
#                                  320000
#                                  330000
#                                  340000
#                                  350000
#                                  360000
#                                  370000
#                                  380000
#                                  390000
#                                  400000
#                                  410000
#                                  420000
#                                  430000
#                                  440000
#                                  450000
#                                  460000
#                                  470000
#                                  480000
#                 g                 490000
#                 g                 500000
#                 g                 510000
#                 g                 520000
#                 g                 530000
#                 g                 540000
#                 g                 550000
#                 g                 560000
#                 y                 570000
#                 y                 580000
#                                  590000
#                                  600000
#                                  610000
#                                  620000
#                                  630000
#                                  640000
#                                  650000
#                                  660000
#                                  670000
#                                  680000
#                                  690000
#                                  700000
#                                  710000
#                                  720000
#                                  730000
#                                  740000
#                 g                 750000
#                 g                 760000
#                 g                 770000
#                 g                 780000
#                 g                 790000
#                 g                 800000
#                 g                 810000
#                 g                 820000
# e_left_sensor on
#                 g                 830000
#                 g                 840000
#                 y                 850000
#                 y                 860000
#                                  870000
# g   g                            880000
# g   g                            890000
# g   g                            900000
# g   g                            910000
# g   g                            920000
# g   g                            930000
# g   g                            940000
# g   g                            950000
# g   g                            960000
# g   g                            970000
# y   y                            980000
# y   y                            990000
#                                 1000000
#                 g                1010000
#                 g                1020000
# ns_sensor off
#                 g                1030000
#                 g                1040000
#                 g                1050000
#                 g                1060000
#                 g                1070000
#                 g                1080000
#                 y                1090000
#                 y                1100000
#                                 1110000
#                                 1120000
#                                 1130000
#                                 1140000
#                                 1150000
#                                 1160000
#     g       g                   1170000
#     g       g                   1180000
#     g       g                   1190000
#     g       g                   1200000
#     g       g                   1210000
#     g       g                   1220000
#     g       g                   1230000
#     g       g                   1240000
#     g       g                   1250000
#     g       g                   1260000
#     y       y                   1270000
#     y       y                   1280000
#                                 1290000
# g       g                       1300000
# g       g                       1310000
# g       g                       1320000
# g       g                       1330000
# g       g                       1340000
# g       g                       1350000
# g       g                       1360000
# g       g                       1370000
# g       g                       1380000
# g       g                       1390000
# y       y                       1400000
# y       y                       1410000
#                                 1420000
#                 g                1430000
#                 g                1440000
#                 g                1450000
#                 g                1460000
#                 g                1470000
#                 g                1480000
#                 g                1490000
#                 g                1500000
#                 g                1510000
#                 g                1520000
#                 y                1530000
#                 y                1540000
#                                 1550000
#     g       g                   1560000
#     g       g                   1570000
#     g       g                   1580000
#     g       g                   1590000
#     g       g                   1600000
#     g       g                   1610000
#     g       g                   1620000
#     g       g                   1630000
#     g       g                   1640000
#     g       g                   1650000
#     y       y                   1660000
#     y       y                   1670000
#                                 1680000
# g       g                       1690000
# g       g                       1700000
# g       g                       1710000
# g       g                       1720000
# g       g                       1730000
# g       g                       1740000
# g       g                       1750000
# g       g                       1760000
# g       g                       1770000
# g       g                       1780000
# y       y                       1790000
# y       y                       1800000
#                                 1810000
#                 g                1820000
#                 g                1830000
#                 g                1840000
#                 g                1850000
#                 g                1860000
#                 g                1870000
#                 g                1880000
#                 g                1890000
#                 g                1900000
#                 g                1910000
#                 y                1920000
#                 y                1930000
#                                 1940000
#     g       g                   1950000
#     g       g                   1960000
#     g       g                   1970000
#     g       g                   1980000
#     g       g                   1990000
#     g       g                   2000000
#     g       g                   2010000
#     g       g                   2020000
#     g       g                   2030000
#     g       g                   2040000
#     y       y                   2050000
#     y       y                   2060000
#                                 2070000
# g       g                       2080000
# g       g                       2090000
# g       g                       2100000
# g       g                       2110000
# g       g                       2120000
# g       g                       2130000
# g       g                       2140000
# g       g                       2150000
# g       g                       2160000
# g       g                       2170000
# y       y                       2180000
# y       y                       2190000
#                                 2200000
#                 g                2210000
#                 g                2220000
#                 g                2230000
#                 g                2240000
#                 g                2250000
#                 g                2260000
#                 g                2270000
#                 g                2280000
#                 g                2290000
#                 g                2300000
#                 y                2310000
#                 y                2320000
#                                 2330000
#     g       g                   2340000
#     g       g                   2350000
#     g       g                   2360000
#     g       g                   2370000
#     g       g                   2380000
#     g       g                   2390000
#     g       g                   2400000
#     g       g                   2410000
#     g       g                   2420000
#     g       g                   2430000
#     y       y                   2440000
#     y       y                   2450000
#                                 2460000
#                                 2470000
#                                 2480000
#                                 2490000
#                                 2500000
#                                 2510000
#                                 2520000
#                                 2530000
#                                 2540000
#                                 2550000
#                                 2560000
#                                 2570000
#                                 2580000
#                                 2590000
#                                 2600000
# ** Note: $stop    : C:/Users/Daniel/Desktop/CSE 140L/Lab 3/Stretch/traffic2_tb.sv(146)
#    Time: 2610 ns  Iteration: 0  Instance: /traffic1_tb
# Break in Module traffic1_tb at C:/Users/Daniel/Desktop/CSE 140L/Lab 3/Stretch/traffic2_tb.sv line 146
